Variable,MAE,RMSE,R2
ptend_t,2.8645159072243676,4.696491120208972,0.5417140026019265
ptend_q0001,4.673035868284141,7.642989032556888,-inf
cam_out_NETSW,14.967682057656665,28.53701848432333,0.9804634927206445
cam_out_FLWDS,6.893820530889413,9.070147899135927,0.8018719677497511
cam_out_PRECSC,3.0459004782877024,5.078154222456924,-inf
cam_out_PRECC,37.25020018592566,76.68196838324724,-17.90857711580475
cam_out_SOLS,8.553733765293467,17.998649557511456,0.9596211347873206
cam_out_SOLL,10.923703397635066,22.540191053177296,0.9454720855307528
cam_out_SOLSD,5.074685770792751,9.916939955777574,0.9507174896181029
cam_out_SOLLD,5.136235695156249,10.416562970675795,0.8571798818488787
