Variable,MAE,RMSE,R2
ptend_t,2.50608568153609,4.18938080945913,0.6468571259993939
ptend_q0001,4.363281659441221,7.17282498421262,-inf
cam_out_NETSW,12.344023858626704,25.129564944793916,0.984898595761921
cam_out_FLWDS,4.6227589181485635,6.164224665026087,0.9385677418349646
cam_out_PRECSC,2.441190655355164,4.384166274262911,-inf
cam_out_PRECC,32.57168787907756,69.36346097075567,-0.9157046773574798
cam_out_SOLS,7.329968301412364,16.16534426616822,0.9667946972816656
cam_out_SOLL,9.696038290225802,20.794306106230895,0.9527934294635821
cam_out_SOLSD,4.24789418391217,8.713278549053486,0.9623926932324144
cam_out_SOLLD,4.608140621661561,9.591044976355535,0.8804480670865195
